NbCont,NbPos,Variables introduites par le CSP 1,Variables introduites par le CSP 2,Variables introduites par le CSP 3,Variables introduites par le CSP 4,Variables introduites par le CSP 5,Variables introduites par le CSP 6,Variables introduites par le CSP 7,Variables introduites par le CSP 8,Variables introduites par le CSP 9,Variables introduites par le CSP 10,NbCont/NbPos,NbCont * NbPos,Variables introduites par le CSP moyenne
2,16,2948,2996,2948,2930,3010,2979,2948,2930,2930,3059,0.125,32,2967.8
4,16,3125,3092,3125,3012,3093,3124,3092,3093,3125,3093,0.25,64,3097.4
6,16,3253,3380,3190,3190,3317,3221,3189,3253,3254,3252,0.375,96,3249.9
8,16,3382,3222,3349,3222,3414,3318,3222,3318,3254,3286,0.5,128,3298.7
10,16,3478,3318,3477,3478,3476,3541,3414,3478,3540,3286,0.625,160,3448.6
12,16,3510,3542,3638,3542,3542,3382,3606,3510,3510,3478,0.75,192,3526
14,16,3606,3637,3766,3638,3797,3606,3606,3670,3893,3702,0.875,224,3692.1
16,16,3862,3766,3957,3670,3701,3701,3638,3830,3830,3862,1,256,3781.7
18,16,3830,3958,3894,3862,3830,3958,3606,3862,4022,3925,1.125,288,3874.7
20,16,3894,3862,3894,3990,3926,4182,4022,3830,3926,3990,1.25,320,3951.6
2,32,6027,6027,6124,6187,6060,6124,6123,6124,5964,6090,0.0625,64,6085
4,32,6092,6254,6508,6156,6189,6317,6317,6508,6253,6190,0.125,128,6278.4
6,32,6701,6637,6509,6445,6382,6446,6701,6701,6828,6764,0.1875,192,6611.4
8,32,6702,6765,6574,6638,6894,6830,6894,6637,6573,6701,0.25,256,6720.8
10,32,7022,7149,6574,6766,6894,6957,6702,6894,6894,6894,0.3125,320,6874.6
12,32,7150,7214,7277,7533,7342,7214,7085,7214,7086,6830,0.375,384,7194.5
14,32,7470,7406,7086,7150,7086,7470,7534,7406,7150,7213,0.4375,448,7297.1
16,32,7342,7534,7470,7597,7726,7534,7790,7469,7278,7469,0.5,512,7520.9
18,32,7790,8046,7918,7534,7662,7662,7790,7854,7662,7854,0.5625,576,7777.2
20,32,7918,7726,7918,8302,7982,7918,8110,7598,7982,7470,0.625,640,7892.4
22,32,8238,8686,8302,8046,8238,8302,8558,8110,8366,8046,0.6875,704,8289.2
24,32,8366,8750,8750,8558,7918,8622,8686,8046,8366,8302,0.75,768,8436.4
26,32,8430,8942,8878,8750,8366,8878,8430,9198,8558,8622,0.8125,832,8705.2
28,32,9006,8814,9134,8750,8750,8686,8814,8814,8494,8814,0.875,896,8807.6
30,32,9134,8878,9006,9070,9134,9198,9134,9326,9198,9006,0.9375,960,9108.4
32,32,9006,9198,9198,9006,9390,10094,9262,9262,9134,8750,1,1024,9230
34,32,9198,8942,9134,9582,9774,9198,9390,9198,9582,9582,1.0625,1088,9358
36,32,9646,9198,9390,9518,9646,9710,9838,9838,9838,9262,1.125,1152,9588.4
38,32,9966,9838,10030,9646,10030,9582,10478,9966,9774,9454,1.1875,1216,9876.4
40,32,10222,10798,10350,9710,10478,10286,9838,10478,10542,9902,1.25,1280,10260.4
