NbCont,NbPos,Variables introduites par le CSP 1,Variables introduites par le CSP 2,Variables introduites par le CSP 3,Variables introduites par le CSP 4,Variables introduites par le CSP 5,Variables introduites par le CSP 6,Variables introduites par le CSP 7,Variables introduites par le CSP 8,Variables introduites par le CSP 9,Variables introduites par le CSP 10,Variables introduites par le CSP moyenne
2,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
4,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
6,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
8,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
10,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
12,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
14,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
16,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
18,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
20,16,2784,2784,2784,2784,2784,2784,2784,2784,2784,2784,
2,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
4,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
6,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
8,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
10,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
12,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
14,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
16,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
18,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
20,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
22,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
24,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
26,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
28,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
30,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
32,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
34,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
36,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
38,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
40,32,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,
