"NbCont","NbPos","Variables introduites par le CSP 1","Variables introduites par le CSP 2","Variables introduites par le CSP 3","Variables introduites par le CSP 4","Variables introduites par le CSP 5","Variables introduites par le CSP 6","Variables introduites par le CSP 7","Variables introduites par le CSP 8","Variables introduites par le CSP 9","Variables introduites par le CSP 10","Variables introduites par le CSP moyenne"
"2","16","128","64","96","96","96","96","96","128","96","128",""
"4","16","256","288","128","256","160","256","224","224","224","288",""
"6","16","288","288","256","288","288","352","352","320","320","352",""
"8","16","384","384","384","320","448","416","352","288","416","512",""
"10","16","448","608","544","480","608","448","576","480","544","480",""
"12","16","736","672","672","608","672","672","608","608","640","832",""
"14","16","704","928","736","704","672","640","672","640","704","672",""
"16","16","800","800","1088","896","736","928","864","864","768","960",""
"18","16","992","1088","832","928","992","864","864","896","832","1088",""
"20","16","1184","1152","928","1088","1248","1088","1056","1024","960","1184",""
"2","32","128","256","384","256","192","192","192","128","192","128",""
"4","32","448","512","448","320","448","576","384","512","448","320",""
"6","32","704","640","512","768","576","640","640","576","576","512",""
"8","32","896","832","768","832","832","832","704","1024","704","640",""
"10","32","1280","832","1152","1216","1280","960","960","1216","960","832",""
"12","32","1216","1344","1280","1600","1408","1344","1152","1344","1152","1152",""
"14","32","1408","1280","1408","1344","1408","1664","1344","1728","1536","1600",""
"16","32","1728","1536","1472","1728","1408","1920","1600","1728","1536","1984",""
"18","32","1856","2240","1792","1728","2176","2112","1792","2304","1600","2112",""
"20","32","1856","1664","2112","2112","2496","1856","2240","1856","2304","2304",""
"22","32","2048","2432","2368","2304","2304","2752","2496","2624","2112","2560",""
"24","32","2752","2624","2752","2688","2432","2688","2176","2368","2432","2240",""
"26","32","3072","2432","2816","2624","3328","2752","2624","2496","2624","2560",""
"28","32","2944","2816","3264","2816","2496","3456","2560","2752","2560","3136",""
"30","32","3136","3392","3008","2816","2944","3008","3456","2752","3072","3008",""
"32","32","3520","3584","3200","3200","3520","3904","3520","3200","3072","3328",""
"34","32","3712","3456","3264","3520","3456","3712","3392","3712","3456","3520",""
"36","32","3584","4224","4096","3968","3584","3712","4992","4480","3520","3584",""
"38","32","4160","3904","4480","4224","4160","3840","4288","3968","3648","4224",""
"40","32","3584","3968","4160","3776","4480","4352","3904","4608","4736","4608",""
