iNbCont,NbPos,Variables introduites par le CSP 1,Variables introduites par le CSP 2,Variables introduites par le CSP 3,Variables introduites par le CSP 4,Variables introduites par le CSP 5,Variables introduites par le CSP 6,Variables introduites par le CSP 7,Variables introduites par le CSP 8,Variables introduites par le CSP 9,Variables introduites par le CSP 10,Variables introduites par le CSP moyenne
2,16,3,4,3,4,4,4,3,2,4,4,
4,16,4,5,5,5,6,5,5,5,6,4,
6,16,5,4,5,6,5,6,6,5,5,5,
8,16,6,6,5,5,6,5,6,5,5,5,
10,16,6,6,4,5,5,6,6,6,6,6,
12,16,6,5,6,5,6,6,6,6,6,6,
14,16,5,6,6,6,5,5,6,6,6,6,
16,16,6,6,6,6,4,6,6,6,6,6,
18,16,6,6,6,6,6,6,6,6,6,6,
20,16,6,6,6,6,6,6,6,6,6,6,
2,32,4,3,2,2,4,2,3,3,3,3,
4,32,4,4,4,5,5,4,4,5,5,4,
6,32,4,5,6,5,5,5,5,5,6,5,
8,32,6,6,5,5,5,6,5,6,6,6,
10,32,5,6,6,6,5,6,5,6,5,6,
12,32,5,6,5,6,5,5,6,6,5,6,
14,32,6,5,6,6,6,5,6,6,6,5,
16,32,6,6,6,6,6,6,6,5,6,6,
18,32,6,6,6,6,6,6,6,6,6,5,
20,32,6,6,6,6,6,6,6,6,6,6,
22,32,6,5,6,6,6,6,6,6,6,6,
24,32,6,6,6,5,6,6,6,6,6,6,
26,32,5,6,6,6,6,6,6,6,6,6,
28,32,6,6,6,6,6,6,6,6,6,6,
30,32,6,6,6,6,6,6,6,6,6,6,
32,32,6,6,6,6,6,6,6,6,6,6,
34,32,6,6,6,6,6,6,6,6,6,6,
36,32,6,6,6,6,6,6,6,6,6,6,
38,32,6,6,6,6,6,6,6,6,6,6,
40,32,6,6,6,6,6,6,6,6,6,6,
