"NbCont","NbPos","Variables introduites par le CSP 1","Variables introduites par le CSP 2","Variables introduites par le CSP 3","Variables introduites par le CSP 4","Variables introduites par le CSP 5","Variables introduites par le CSP 6","Variables introduites par le CSP 7","Variables introduites par le CSP 8","Variables introduites par le CSP 9","Variables introduites par le CSP 10","Variables introduites par le CSP moyenne"
"2","16","0","0","0","0","0","0","0","0","0","0",""
"4","16","0","0","0","0","0","0","0","0","0","0",""
"6","16","0","0","0","0","0","0","0","0","0","0",""
"8","16","0","0","0","0","0","0","0","0","0","0",""
"10","16","0","0","0","0","0","0","0","0","0","0",""
"12","16","0","0","0","0","0","0","0","0","0","0",""
"14","16","0","0","0","0","0","0","0","0","0","0",""
"16","16","0","0","0","0","0","0","0","0","0","0",""
"18","16","0","0","0","0","0","0","0","0","0","0",""
"20","16","0","0","0","0","0","0","0","0","0","0",""
"2","32","0","0","0","0","0","0","0","0","0","0",""
"4","32","0","0","0","0","0","0","0","0","0","0",""
"6","32","0","0","0","0","0","0","0","0","0","0",""
"8","32","0","0","0","0","0","0","0","0","0","0",""
"10","32","0","0","0","0","0","0","0","0","0","0",""
"12","32","0","0","0","0","0","0","0","0","0","0",""
"14","32","0","0","0","0","0","0","0","0","0","0",""
"16","32","0","0","0","0","0","0","0","0","0","0",""
"18","32","0","0","0","0","0","0","0","0","0","0",""
"20","32","0","0","0","0","0","0","0","0","0","0",""
"22","32","0","0","0","0","0","0","0","0","0","0",""
"24","32","0","0","0","0","0","0","0","0","0","0",""
"26","32","0","0","0","0","0","0","0","0","0","0",""
"28","32","0","0","0","0","0","0","0","0","0","0",""
"30","32","0","0","0","0","0","0","0","0","0","0",""
"32","32","0","0","0","0","0","0","0","0","0","0",""
"34","32","0","0","0","0","0","0","0","0","0","0",""
"36","32","0","0","0","0","0","0","0","0","0","0",""
"38","32","0","0","0","0","0","0","0","0","0","0",""
"40","32","0","0","0","0","0","0","0","0","0","0",""
